종목코드,종목명,종가,대비,등락률,상장시가총액
"006120","SK디스커버리","51900","-1100","-2.08","903774.0"
"017960","한국카본","22700","-1000","-4.22","1173056.0"
"032350","롯데관광개발","11950","330","2.84","952719.0"
"034230","파라다이스","10330","300","2.99","956862.0"
"077970","STX엔진","24550","-1000","-3.91","985635.0"
"030530","원익홀딩스","16960","560","3.41","1309956.0"
"035760","CJ ENM","31700","1400","4.62","695154.0"
"298050","HS효성첨단소재","161200","6100","3.93","722168.0"
"038500","삼표시멘트","7420","20","0.27","800739.0"
"065350","신성델타테크","28150","650","2.36","773673.0"
"082270","젬백스","10470","360","3.56","463499.0"
"090710","휴림로봇","6710","150","2.29","802241.0"
"100790","미래에셋벤처투자","13500","110","0.82","717128.0"
"115180","큐리언트","17970","180","1.01","674098.0"
"122870","와이지엔터테인먼트","41550","1750","4.40","776613.0"
"137400","피엔티","30150","800","2.73","714275.0"
"161580","필옵틱스","26650","500","1.91","624736.0"
"174900","앱클론","19760","20","0.10","394254.0"
"213420","덕산네오룩스","30300","800","2.71","752385.0"
"232140","와이씨","9510","430","4.74","780251.0"
"253450","스튜디오드래곤","21650","1100","5.35","650766.0"
"281740","레이크머티리얼즈","11780","60","0.51","774306.0"
"328130","루닛","9610","290","3.11","715543.0"
"348370","엔켐","18630","480","2.64","408202.0"
"358570","지아이이노베이션","7980","440","5.84","514838.0"
"376900","로킷헬스케어","42700","-1400","-3.17","677811.0"
"388720","유일로보틱스","63400","3700","6.20","746937.0"
"397030","에이프릴바이오","25050","250","1.01","586516.0"
"417200","LS머트리얼즈","11670","-190","-1.60","789507.0"
"445680","큐리옥스바이오시스템즈","39950","1150","2.96","687270.0"
"456160","지투지바이오","30600","-400","-1.29","508860.0"
"466100","클로봇","25300","1650","6.98","644119.0"
"000670","영풍","34950","-300","-0.85","643453.0"
"075580","세진중공업","11770","-460","-3.76","669118.0"
"249420","일동제약","14060","100","0.72","444834.0"
"285130","SK케미칼","40050","-1050","-2.55","692816.0"
"036830","솔브레인홀딩스","31650","700","2.26","648951.0"
