종목코드,종목명,종가,대비,등락률,상장시가총액
005930,삼성전자,248500.0,-500.0,-0.2,1452800234.0
000660,SK하이닉스,1690000.0,-7000.0,-0.41,1234532097.0
402340,SK스퀘어,1000000.0,0.0,0.0,131923998.0
009150,삼성전기,1317000.0,-20000.0,-1.5,98371598.0
373220,LG에너지솔루션,365500.0,14000.0,3.98,85527000.0
005380,현대차,367000.0,-4500.0,-1.21,75146100.0
207940,삼성바이오로직스,1412000.0,-8000.0,-0.56,65362823.0
105560,KB금융,175800.0,-5800.0,-3.19,62354104.0
032830,삼성생명,285500.0,-12500.0,-4.19,57100000.0
028260,삼성물산,347000.0,-11500.0,-3.21,56272151.0
034020,두산에너빌리티,86200.0,-800.0,-0.92,55216371.0
012450,한화에어로스페이스,1063000.0,-74000.0,-6.51,54811895.0
055550,신한지주,112200.0,-2400.0,-2.09,52672317.0
329180,HD현대중공업,453500.0,-25500.0,-5.32,47599916.0
000270,기아,121800.0,-2400.0,-1.93,47552303.0
006400,삼성SDI,547000.0,15000.0,2.82,44080285.0
068270,셀트리온,177500.0,-1300.0,-0.73,41289549.0
034730,SK,550000.0,-20000.0,-3.51,39876487.0
086790,하나금융지주,137600.0,-3200.0,-2.27,37285460.0
012330,현대모비스,394500.0,-5500.0,-1.38,35434221.0
066570,LG전자,202000.0,3800.0,1.92,32902697.0
035420,NAVER,206000.0,2000.0,0.98,31331440.0
010120,LS ELECTRIC,194700.0,-4600.0,-2.31,29205000.0
000810,삼성화재,661000.0,-14000.0,-2.07,29511980.0
316140,우리금융지주,36350.0,-500.0,-1.36,26782191.0
005490,POSCO홀딩스,332000.0,6000.0,1.84,26308187.0
298040,효성중공업,2689000.0,-114000.0,-4.07,25073710.0
267260,HD현대일렉트릭,700000.0,-39000.0,-5.28,25232995.0
042660,한화오션,82400.0,-3500.0,-4.07,25248464.0
010130,고려아연,1138000.0,-25000.0,-2.15,23753439.0
009540,HD한국조선해양,339000.0,-24500.0,-6.74,23992086.0
096770,SK이노베이션,141700.0,5000.0,3.66,23954780.0
042700,한미반도체,222500.0,-2500.0,-1.11,21206965.0
138040,메리츠금융지주,126500.0,-5500.0,-4.17,21169430.0
000150,두산,1289000.0,34000.0,2.71,20873853.0
015760,한국전력,31350.0,-600.0,-1.88,20125574.0
011200,HMM,20650.0,-600.0,-2.82,19477864.0
051910,LG화학,271500.0,3500.0,1.31,19165821.0
017670,SK텔레콤,88000.0,-2100.0,-2.33,18901525.0
196170,알테오젠,260000.0,0.0,0.0,18110335.0
010140,삼성중공업,20700.0,-1400.0,-6.33,18216000.0
033780,KT&G,170800.0,-2300.0,-1.33,17730826.0
006800,미래에셋증권,32050.0,-1100.0,-3.32,17403825.0
267250,HD현대,225000.0,-21500.0,-8.72,17773444.0
018260,삼성에스디에스,220500.0,2000.0,0.92,17061805.0
003670,포스코퓨처엠,189300.0,10400.0,5.81,16837519.0
003550,LG,114300.0,1100.0,0.97,17281246.0
010950,S-Oil,148700.0,100.0,0.07,16741061.0
024110,기업은행,20350.0,-550.0,-2.63,16227616.0
086280,현대글로비스,204500.0,-2500.0,-1.21,15337500.0
035720,카카오,34500.0,-150.0,-0.43,15283497.0
079550,LIG디펜스앤에어로스페이스,671000.0,-34000.0,-4.82,14762000.0
000720,현대건설,128100.0,-100.0,-0.08,14264673.0
064350,현대로템,121400.0,-3000.0,-2.41,13249874.0
030200,KT,53000.0,-200.0,-0.38,13357149.0
272210,한화시스템,69700.0,-5300.0,-7.07,13167681.0
278470,에이피알,361500.0,-7500.0,-2.03,13533893.0
047810,한국항공우주,129000.0,-4000.0,-3.01,12574289.0
005830,DB손해보험,188700.0,-3800.0,-1.97,12359916.0
086520,에코프로,84400.0,2900.0,3.56,11459507.0
011070,LG이노텍,506000.0,-8000.0,-1.56,11975556.0
078930,GS,115100.0,-1300.0,-1.12,10692271.0
003490,대한항공,29350.0,-500.0,-1.68,10807275.0
247540,에코프로비엠,107000.0,3100.0,2.98,10467856.0
071050,한국금융지주,191200.0,-2500.0,-1.29,10654810.0
443060,HD현대마린솔루션,232000.0,-7000.0,-2.93,10401363.0
307950,현대오토에버,370000.0,-3500.0,-0.94,10146873.0
323410,카카오뱅크,21150.0,-450.0,-2.08,10091097.0
028050,삼성E&A,50800.0,0.0,0.0,9956800.0
006260,LS,303500.0,-8500.0,-2.72,9469200.0
005940,NH투자증권,25850.0,-550.0,-2.08,9543978.0
003230,삼양식품,1277000.0,-33000.0,-2.52,9619660.0
259960,크래프톤,210500.0,-1500.0,-0.71,9629942.0
047050,포스코인터내셔널,54900.0,-1700.0,-3.0,9658161.0
180640,한진칼,138100.0,-600.0,-0.43,9219870.0
036930,주성엔지니어링,192800.0,-13200.0,-6.41,8961560.0
0126Z0,삼성에피스홀딩스,333000.0,2500.0,0.76,8286055.0
090430,아모레퍼시픽,144000.0,-2000.0,-1.37,8422957.0
277810,레인보우로보틱스,433500.0,13000.0,3.09,8409838.0
047040,대우건설,19130.0,370.0,1.97,7860663.0
016360,삼성증권,86900.0,-600.0,-0.69,7760170.0
161390,한국타이어앤테크놀로지,58600.0,-2100.0,-3.46,7259079.0
007660,이수페타시스,104600.0,-2800.0,-2.61,7678604.0
000880,한화,137100.0,-6600.0,-4.59,7311392.0
352820,하이브,173100.0,-2600.0,-1.48,7461793.0
021240,코웨이,101500.0,1000.0,1.0,7182894.0
064400,LG씨엔에스,71000.0,300.0,0.42,6878902.0
039490,키움증권,268500.0,-7500.0,-2.72,7042303.0
267270,HD건설기계,134500.0,-5300.0,-3.79,6388398.0
377300,카카오페이,45750.0,-1150.0,-2.45,6190003.0
009830,한화솔루션,28550.0,-150.0,-0.52,6420682.0
128940,한미약품,496500.0,22500.0,4.75,6360657.0
032640,LG유플러스,14850.0,-190.0,-1.26,6302752.0
175330,JB금융지주,32200.0,-50.0,-0.16,6006003.0
241560,두산밥캣,60000.0,-1600.0,-2.6,5751364.0
000100,유한양행,79300.0,200.0,0.25,5837731.0
062040,산일전기,187500.0,-10500.0,-5.3,5745534.0
326030,SK바이오팜,78100.0,-1000.0,-1.26,6116265.0
029780,삼성카드,45250.0,-200.0,-0.44,5242615.0
052690,한전기술,143800.0,5600.0,4.05,5496036.0
088350,한화생명,5970.0,-50.0,-0.83,5185124.0
001440,대한전선,27900.0,-400.0,-1.41,5468193.0
240810,원익IPS,108400.0,-1700.0,-1.54,5320695.0
000990,DB하이텍,116700.0,5400.0,4.85,5076985.0
039030,이오테크닉스,446500.0,18500.0,4.32,5500679.0
138930,BNK금융지주,16040.0,30.0,0.19,4921710.0
271560,오리온,116000.0,700.0,0.61,4585339.0
353200,대덕전자,96700.0,-300.0,-0.31,4778617.0
004020,현대제철,35150.0,2150.0,6.52,4690619.0
058470,리노공업,64300.0,-800.0,-1.23,4900422.0
108490,로보티즈,324500.0,0.0,0.0,4759451.0
222800,심텍,125500.0,800.0,0.64,4765766.0
066970,엘앤에프,114700.0,600.0,0.53,4666531.0
454910,두산로보틱스,69500.0,100.0,0.14,4504989.0
011790,SKC,87300.0,200.0,0.23,4329931.0
034220,LG디스플레이,8610.0,-240.0,-2.71,4305000.0
036570,NC,204000.0,-2500.0,-1.21,4394980.0
002380,KCC,470000.0,-3500.0,-0.74,4038661.0
028300,HLB,32450.0,2100.0,6.92,4322282.0
403870,HPSP,51900.0,-200.0,-0.38,4271370.0
001450,현대해상,49200.0,-2000.0,-3.91,4194214.0
051900,LG생활건강,302000.0,3000.0,1.0,4522608.0
082740,한화엔진,47800.0,-2800.0,-5.53,3988773.0
000250,삼천당제약,157500.0,-300.0,-0.19,3694552.0
031980,피에스케이홀딩스,166900.0,11400.0,7.33,3598764.0
087010,펩트론,150800.0,11700.0,8.41,3516256.0
010060,OCI홀딩스,203500.0,-2500.0,-1.21,3799392.0
214450,파마리서치,337000.0,-8500.0,-2.46,3501311.0
001040,CJ,131500.0,-2400.0,-1.79,3836775.0
004170,신세계,368000.0,-8000.0,-2.13,3475827.0
008930,한미사이언스,51600.0,1900.0,3.82,3529004.0
095340,ISC,181600.0,1400.0,0.78,3849386.0
161890,한국콜마,144500.0,-1600.0,-1.1,3410934.0
006360,GS건설,37800.0,1150.0,3.14,3234980.0
336260,두산퓨얼셀,51600.0,3800.0,7.95,3379476.0
375500,DL이앤씨,89400.0,3700.0,4.32,3459210.0
011780,금호석유화학,122600.0,-2300.0,-1.84,3084288.0
018880,한온시스템,3370.0,-105.0,-3.02,3458505.0
022100,포스코DX,21650.0,100.0,0.46,3291552.0
023530,롯데쇼핑,115300.0,-4100.0,-3.43,3261693.0
028670,팬오션,5680.0,-360.0,-5.96,3036355.0
031210,서울보증보험,42950.0,-850.0,-1.94,2998838.0
035250,강원랜드,14730.0,-80.0,-0.54,3151344.0
036460,한국가스공사,36900.0,100.0,0.27,3406350.0
103590,일진전기,68400.0,-1300.0,-1.87,3261681.0
111770,영원무역,71900.0,-500.0,-0.69,3185995.0
084370,유진테크,128900.0,-3300.0,-2.5,2953878.0
